Date,Open,High,Low,Close,Volume,Adj Close
2013-04-05,14.90,15.10,14.88,15.08,27600,15.08
2013-04-04,14.97,15.16,14.95,14.95,19700,14.95
2013-04-03,15.50,15.54,14.81,15.08,209800,15.08
2013-04-02,15.50,15.60,15.50,15.54,16000,15.54
2013-04-01,15.67,15.67,15.50,15.53,57800,15.53
2013-03-28,15.84,15.93,15.76,15.78,11200,15.78
2013-03-27,15.89,15.94,15.76,15.76,15000,15.76
2013-03-26,15.80,16.00,15.75,15.92,17400,15.92
2013-03-25,16.14,16.16,15.91,16.01,28200,15.62
2013-03-22,16.20,16.20,16.08,16.12,11500,15.73
2013-03-21,16.01,16.18,15.77,16.18,23500,15.79
2013-03-20,15.92,16.15,15.92,16.08,35700,15.69
2013-03-19,15.75,15.98,15.75,15.76,32400,15.38
2013-03-18,15.75,15.84,15.75,15.76,18600,15.38
2013-03-15,16.04,16.11,15.80,15.80,14800,15.42
2013-03-14,15.88,15.95,15.87,15.92,21600,15.53
2013-03-13,15.90,15.93,15.85,15.86,18700,15.47
2013-03-12,15.90,15.99,15.86,15.88,9700,15.49
2013-03-11,16.00,16.10,15.93,15.93,17200,15.54
2013-03-08,16.06,16.06,15.92,16.02,19200,15.63
2013-03-07,15.91,15.97,15.82,15.94,29200,15.55
2013-03-06,16.20,16.25,15.88,15.93,43500,15.54
2013-03-05,16.01,16.07,15.98,16.02,26400,15.63
2013-03-04,15.98,16.00,15.89,16.00,27100,15.61
2013-03-01,15.95,16.06,15.95,16.01,21900,15.62
2013-02-28,15.92,16.01,15.91,15.95,14200,15.56
2013-02-27,15.82,15.99,15.82,15.98,15000,15.59
2013-02-26,15.83,15.89,15.80,15.85,12300,15.46
2013-02-25,15.88,16.00,15.84,15.84,31800,15.45
2013-02-22,15.93,15.98,15.85,15.85,18000,15.46
2013-02-21,16.10,16.19,15.80,15.98,72600,15.59
2013-02-20,16.19,16.19,16.00,16.16,94500,15.77
2013-02-19,15.99,16.05,15.91,16.04,44400,15.65
2013-02-15,15.83,15.99,15.81,15.92,38600,15.53
2013-02-14,15.97,16.03,15.86,15.92,44800,15.53
2013-02-13,15.95,16.04,15.95,16.03,17600,15.64
2013-02-12,15.80,15.96,15.80,15.93,26400,15.54
2013-02-11,15.99,15.99,15.75,15.75,45000,15.37
2013-02-08,15.88,15.95,15.88,15.95,32500,15.56
2013-02-07,15.89,15.95,15.85,15.95,25900,15.56
2013-02-06,15.77,15.96,15.77,15.92,22900,15.53
2013-02-05,15.75,15.89,15.74,15.89,34700,15.50
2013-02-04,15.69,15.76,15.69,15.76,22100,15.38
2013-02-01,15.76,15.88,15.76,15.80,29300,15.42
2013-01-31,15.70,15.80,15.66,15.78,23600,15.40
2013-01-30,15.72,15.80,15.68,15.80,16200,15.42
2013-01-29,15.63,15.78,15.61,15.78,20400,15.40
2013-01-28,15.61,15.75,15.61,15.68,27600,15.30
2013-01-25,15.75,15.77,15.63,15.67,29300,15.29
2013-01-24,15.69,15.76,15.65,15.76,26600,15.38
2013-01-23,15.74,15.90,15.72,15.78,26500,15.40
2013-01-22,15.77,15.84,15.69,15.80,39900,15.42
2013-01-18,15.65,15.79,15.64,15.77,34700,15.39
2013-01-17,15.59,15.70,15.50,15.56,41300,15.18
2013-01-16,15.45,15.56,15.00,15.48,39000,15.10
2013-01-15,15.48,15.50,15.42,15.45,35900,15.07
2013-01-14,15.50,15.57,15.41,15.49,48900,15.11
2013-01-11,15.46,15.53,15.38,15.49,39900,15.11
2013-01-10,15.32,15.47,15.32,15.43,42300,15.05
2013-01-09,15.28,15.35,15.23,15.31,23300,14.94
2013-01-08,15.50,15.50,15.17,15.18,80500,14.81
2013-01-07,15.25,15.50,15.25,15.50,33700,15.12
2013-01-04,15.16,15.38,15.16,15.37,32900,15.00
2013-01-03,15.37,15.40,15.20,15.25,28000,14.88
2013-01-02,15.25,15.49,15.16,15.32,61200,14.95
2012-12-31,14.82,15.11,14.82,15.09,38700,14.72
2012-12-28,15.00,15.00,14.83,15.00,46900,14.63
2012-12-27,15.06,15.16,14.80,14.92,53800,14.56
2012-12-26,15.22,15.38,15.22,15.38,30100,14.63
2012-12-24,15.20,15.28,15.20,15.28,19100,14.54
2012-12-21,15.10,15.22,15.10,15.20,30100,14.46
2012-12-20,15.12,15.28,15.12,15.24,18800,14.50
2012-12-19,15.20,15.24,15.10,15.19,41500,14.45
2012-12-18,15.07,15.19,15.04,15.18,54100,14.44
2012-12-17,15.01,15.09,14.99,15.00,54900,14.27
2012-12-14,15.10,15.14,14.99,15.00,31600,14.27
2012-12-13,14.91,15.13,14.91,15.03,24900,14.30
2012-12-12,14.98,15.10,14.90,14.97,29400,14.24
2012-12-11,14.82,15.00,14.80,14.85,20500,14.13
2012-12-10,14.66,14.91,14.66,14.80,31600,14.08
2012-12-07,14.91,14.91,14.70,14.75,39200,14.04
2012-12-06,14.74,14.91,14.62,14.91,64300,14.19
2012-12-05,14.82,14.88,14.75,14.76,30600,14.04
2012-12-04,14.81,14.90,14.81,14.88,15000,14.16
2012-12-03,14.88,14.91,14.82,14.88,13300,14.16
2012-11-30,14.90,15.00,14.82,14.90,21800,14.18
2012-11-29,14.97,15.00,14.86,14.90,37500,14.18
2012-11-28,14.80,15.00,14.80,14.96,17600,14.23
2012-11-27,15.00,15.03,14.82,14.90,34700,14.18
2012-11-26,15.11,15.19,15.00,15.00,21100,14.27
2012-11-23,15.17,15.19,15.08,15.11,15900,14.38
2012-11-21,15.02,15.19,14.99,15.13,21100,14.40
2012-11-20,15.15,15.15,15.04,15.11,23300,14.38
2012-11-19,14.90,15.15,14.86,15.05,45400,14.32
2012-11-16,15.10,15.18,14.80,14.86,52200,14.14
2012-11-15,15.28,15.28,14.82,14.91,70500,14.19
2012-11-14,15.29,15.29,14.91,15.00,59400,14.27
2012-11-13,15.22,15.30,15.12,15.28,20400,14.54
2012-11-12,15.45,15.47,15.31,15.32,44300,14.58
2012-11-09,15.28,15.42,15.16,15.42,35200,14.67
2012-11-08,15.24,15.40,15.24,15.38,24200,14.63
2012-11-07,15.43,15.43,15.26,15.35,37500,14.61
2012-11-06,15.40,15.42,15.32,15.42,9900,14.67
2012-11-05,15.42,15.42,15.28,15.35,14100,14.61
2012-11-02,15.40,15.45,15.32,15.43,39000,14.68
2012-11-01,15.26,15.45,15.26,15.45,22100,14.70
2012-10-31,15.22,15.27,15.08,15.26,40900,14.52
2012-10-26,15.25,15.30,15.15,15.26,23500,14.52
2012-10-25,15.27,15.31,15.08,15.25,35500,14.51
2012-10-24,15.01,15.17,15.01,15.08,21800,14.35
2012-10-23,15.05,15.05,14.87,15.03,44500,14.30
2012-10-22,15.21,15.21,15.03,15.15,28900,14.42
2012-10-19,15.44,15.44,15.13,15.23,32900,14.49
2012-10-18,15.45,15.45,15.37,15.45,21400,14.70
2012-10-17,15.29,15.47,15.15,15.43,22400,14.68
2012-10-16,15.21,15.38,15.21,15.36,22800,14.62
2012-10-15,15.15,15.32,15.10,15.27,41200,14.53
2012-10-12,15.16,15.18,15.07,15.15,13200,14.42
2012-10-11,15.10,15.26,15.09,15.09,23900,14.36
2012-10-10,15.34,15.34,15.03,15.09,37000,14.36
2012-10-09,15.36,15.47,15.20,15.26,30000,14.52
2012-10-08,15.45,15.46,15.30,15.44,26700,14.69
2012-10-05,15.50,15.50,15.40,15.48,35300,14.73
2012-10-04,15.30,15.46,15.27,15.37,19500,14.63
2012-10-03,15.30,15.39,15.28,15.28,28200,14.54
2012-10-02,15.48,15.48,15.32,15.41,38100,14.66
2012-10-01,15.40,15.48,15.33,15.48,39400,14.73
2012-09-28,15.16,15.48,15.16,15.38,38300,14.63
2012-09-27,15.31,15.45,15.29,15.29,50400,14.55
2012-09-26,15.19,15.49,15.17,15.31,71400,14.57
2012-09-25,15.60,15.84,15.60,15.72,55000,14.60
2012-09-24,15.54,15.73,15.51,15.73,75200,14.61
2012-09-21,15.68,15.75,15.64,15.67,73500,14.55
2012-09-20,15.68,15.68,15.47,15.68,47600,14.56
2012-09-19,15.59,15.68,15.46,15.68,63100,14.56
2012-09-18,15.40,15.59,15.40,15.59,41800,14.48
2012-09-17,15.24,15.50,15.17,15.50,152100,14.39
2012-09-14,15.39,15.39,15.00,15.26,326200,14.17
2012-09-13,15.75,15.83,15.57,15.65,66700,14.53
2012-09-12,15.80,15.95,15.73,15.88,28600,14.75
2012-09-11,15.90,15.90,15.79,15.81,28700,14.68
2012-09-10,15.99,15.99,15.70,15.78,30000,14.65
2012-09-07,15.85,15.90,15.72,15.90,34100,14.76
2012-09-06,15.24,15.72,15.24,15.71,90100,14.59
2012-09-05,14.90,15.18,14.90,15.07,38500,13.99
2012-09-04,15.12,15.12,14.94,14.98,92700,13.91
2012-08-31,15.15,15.26,15.01,15.26,29500,14.17
2012-08-30,15.13,15.16,15.06,15.09,26100,14.01
2012-08-29,15.09,15.17,15.03,15.14,25200,14.06
2012-08-28,15.17,15.17,15.01,15.08,28000,14.00
2012-08-27,15.18,15.18,15.11,15.11,27400,14.03
2012-08-24,15.13,15.26,15.12,15.15,37800,14.07
2012-08-23,15.13,15.23,15.12,15.15,22900,14.07
2012-08-22,15.36,15.36,15.17,15.20,25800,14.11
2012-08-21,15.52,15.52,15.25,15.25,36600,14.16
2012-08-20,15.35,15.42,15.24,15.41,49500,14.31
2012-08-17,15.20,15.38,15.11,15.38,19700,14.28
2012-08-16,15.27,15.27,15.10,15.17,43100,14.09
2012-08-15,15.01,15.17,15.01,15.15,10800,14.07
2012-08-14,15.06,15.21,15.00,15.07,19800,13.99
2012-08-13,15.18,15.20,15.01,15.11,15600,14.03
2012-08-10,15.10,15.30,15.09,15.30,22900,14.21
2012-08-09,15.23,15.37,15.23,15.28,32500,14.19
2012-08-08,15.10,15.31,15.06,15.24,30100,14.15
2012-08-07,15.28,15.35,15.19,15.20,15400,14.11
2012-08-06,15.20,15.29,15.20,15.28,17100,14.19
2012-08-03,15.05,15.31,15.00,15.13,39500,14.05
2012-08-02,15.08,15.10,14.83,14.86,61800,13.80
2012-08-01,15.46,15.46,15.07,15.09,38400,14.01
2012-07-31,15.36,15.46,15.36,15.38,7300,14.28
2012-07-30,15.45,15.54,15.40,15.44,27300,14.34
2012-07-27,15.40,15.44,15.13,15.39,32300,14.29
2012-07-26,15.45,15.65,15.25,15.26,21600,14.17
2012-07-25,15.40,15.50,15.31,15.35,18300,14.25
2012-07-24,15.56,15.60,15.30,15.40,31600,14.30
2012-07-23,15.60,15.74,15.40,15.46,60500,14.36
2012-07-20,16.25,16.25,15.60,15.86,57300,14.73
2012-07-19,16.05,16.30,16.05,16.15,23400,15.00
2012-07-18,15.90,16.07,15.87,16.03,33500,14.88
2012-07-17,15.95,15.95,15.75,15.86,34300,14.73
2012-07-16,15.92,15.92,15.62,15.73,39900,14.61
2012-07-13,15.61,15.82,15.61,15.68,65900,14.56
2012-07-12,15.60,15.62,15.40,15.47,37800,14.36
2012-07-11,15.50,15.64,15.49,15.64,44000,14.52
2012-07-10,15.61,15.61,15.37,15.49,58800,14.38
2012-07-09,15.33,15.42,15.27,15.40,43800,14.30
2012-07-06,15.43,15.43,15.11,15.26,19500,14.17
2012-07-05,15.35,15.48,15.26,15.48,43000,14.37
2012-07-03,15.17,15.44,15.17,15.28,65600,14.19
2012-07-02,15.22,15.25,15.17,15.24,39300,14.15
2012-06-29,15.25,15.44,15.04,15.24,50400,14.15
