Date,Open,High,Low,Close,Volume,Adj Close
2013-04-08,20.32,20.75,20.32,20.73,11800,20.73
2013-04-05,20.50,20.71,20.34,20.59,7500,20.59
2013-04-04,20.57,20.66,20.49,20.61,3800,20.61
2013-04-03,20.76,20.76,20.39,20.62,9900,20.62
2013-04-02,20.76,20.95,19.89,20.75,7800,20.75
2013-04-01,20.83,20.86,20.73,20.73,5600,20.73
2013-03-28,20.98,21.08,20.87,21.08,5900,21.08
2013-03-27,20.85,20.99,20.48,20.92,10500,20.92
2013-03-26,20.54,20.90,20.54,20.81,7100,20.81
2013-03-25,20.73,20.91,20.66,20.69,2000,20.69
2013-03-22,20.56,20.90,20.52,20.84,1600,20.84
2013-03-21,20.72,20.78,20.69,20.78,3700,20.78
2013-03-20,21.05,21.43,20.74,20.96,3200,20.96
2013-03-19,20.90,20.93,20.70,20.93,3800,20.93
2013-03-18,21.15,21.15,20.16,21.02,8200,21.02
2013-03-15,21.50,21.50,19.50,21.09,3500,21.09
2013-03-14,21.36,21.52,21.36,21.46,4500,21.46
2013-03-13,21.99,21.99,21.40,21.40,40400,21.40
2013-03-12,21.87,22.33,21.65,21.68,9500,21.68
2013-03-11,21.63,21.65,21.34,21.63,7000,21.63
2013-03-08,21.55,21.57,21.47,21.56,12800,21.56
2013-03-07,21.33,21.49,21.33,21.49,2500,21.49
2013-03-06,21.36,21.44,21.30,21.42,15700,21.42
2013-03-05,21.39,21.40,21.31,21.39,23500,21.39
2013-03-04,21.43,21.43,21.11,21.20,13200,21.20
2013-03-01,21.56,21.72,21.11,21.59,17300,21.59
2013-02-28,21.60,21.65,21.43,21.53,7000,21.53
2013-02-27,21.53,21.53,21.28,21.48,5600,21.48
2013-02-26,21.15,21.40,21.15,21.27,2300,21.27
2013-02-25,21.53,21.53,21.32,21.38,22400,21.38
2013-02-22,21.28,21.32,21.25,21.25,10600,21.25
2013-02-21,21.10,21.36,20.92,21.06,14500,21.06
2013-02-20,21.30,21.37,21.30,21.32,17400,21.32
2013-02-19,21.39,21.48,21.20,21.27,129600,21.27
2013-02-15,21.50,21.50,21.36,21.39,11600,21.39
2013-02-14,21.58,21.60,21.40,21.40,6500,21.40
2013-02-13,21.58,21.68,21.41,21.41,4700,21.41
2013-02-12,21.63,21.68,21.59,21.61,2300,21.61
2013-02-11,21.69,21.70,21.66,21.66,6200,21.66
2013-02-08,21.58,21.84,21.48,21.59,7700,21.59
2013-02-07,21.90,21.90,21.48,21.51,5800,21.51
2013-02-06,21.69,22.25,21.67,21.96,34600,21.96
2013-02-05,21.68,21.84,21.68,21.77,3900,21.77
2013-02-04,21.85,21.86,21.75,21.75,5300,21.75
2013-02-01,21.71,21.93,21.71,21.89,13300,21.89
2013-01-31,21.93,21.93,21.67,21.72,7100,21.72
2013-01-30,21.81,21.83,21.71,21.79,7800,21.79
2013-01-29,21.67,21.78,21.67,21.72,8300,21.72
2013-01-28,22.01,22.01,21.73,21.77,37500,21.77
2013-01-25,22.21,22.21,22.00,22.02,5500,22.02
2013-01-24,22.20,22.23,22.03,22.03,7600,22.03
2013-01-23,22.02,22.23,22.01,22.16,8400,22.16
2013-01-22,22.42,22.72,22.03,22.12,34800,22.12
2013-01-18,22.03,22.42,22.00,22.39,5200,22.39
2013-01-17,21.74,22.04,21.74,21.92,4300,21.92
2013-01-16,21.68,21.88,21.68,21.73,4000,21.73
2013-01-15,21.80,21.81,21.77,21.79,2000,21.79
2013-01-14,21.90,22.01,21.76,21.95,8200,21.95
2013-01-11,21.85,21.85,21.75,21.80,1900,21.80
2013-01-10,21.78,21.90,21.75,21.84,8000,21.84
2013-01-09,21.67,21.82,21.67,21.78,4900,21.78
2013-01-08,21.65,21.76,21.65,21.75,1700,21.75
2013-01-07,21.83,21.83,21.62,21.75,16000,21.75
2013-01-04,21.84,21.84,21.66,21.68,1400,21.68
2013-01-03,21.71,21.73,21.65,21.70,14800,21.70
2013-01-02,21.71,21.95,21.66,21.83,12100,21.83
2012-12-31,21.30,21.53,20.96,21.50,20000,21.50
2012-12-28,21.11,21.21,21.06,21.21,24800,21.21
2012-12-27,21.26,21.29,20.79,21.11,26400,21.11
2012-12-26,20.98,21.24,20.98,21.23,12000,21.11
2012-12-24,21.03,21.05,20.91,21.00,8700,20.88
2012-12-21,21.01,21.13,20.78,20.82,10700,20.70
2012-12-20,21.24,21.24,20.97,21.20,21900,21.08
2012-12-19,21.22,21.22,20.94,21.13,29300,21.01
2012-12-18,20.64,21.17,20.45,21.12,22900,21.00
2012-12-17,20.45,20.72,20.45,20.72,19900,20.60
2012-12-14,20.44,20.57,20.42,20.57,3500,20.45
2012-12-13,20.56,20.57,20.41,20.42,63400,20.30
2012-12-12,20.51,20.55,20.43,20.55,2900,20.43
2012-12-11,20.67,20.94,20.46,20.53,7800,20.41
2012-12-10,20.43,20.60,20.33,20.51,12700,20.39
2012-12-07,20.51,20.66,20.18,20.46,285600,20.34
2012-12-06,20.71,20.71,20.51,20.62,1200,20.50
2012-12-05,20.59,20.64,20.51,20.63,27900,20.51
2012-12-04,20.37,20.56,20.37,20.47,22400,20.35
2012-12-03,20.49,20.57,20.38,20.45,21500,20.33
2012-11-30,20.33,20.50,20.29,20.48,25600,20.36
2012-11-29,20.15,20.44,20.15,20.44,31900,20.32
2012-11-28,20.05,20.16,19.99,20.15,15200,20.03
2012-11-27,20.12,20.36,20.12,20.25,41100,20.13
2012-11-26,20.07,20.35,20.07,20.23,28700,20.11
2012-11-23,20.28,20.28,20.28,20.28,200,20.16
2012-11-21,20.32,20.32,20.09,20.11,1500,19.99
2012-11-20,20.18,20.19,20.16,20.18,7300,20.06
2012-11-19,19.65,20.26,19.62,20.05,18200,19.93
2012-11-16,19.40,19.74,19.34,19.50,38200,19.39
2012-11-15,19.22,19.57,19.22,19.50,13100,19.39
2012-11-14,20.15,20.15,19.54,19.70,11500,19.59
2012-11-13,20.00,20.02,19.84,20.02,417200,19.90
2012-11-12,20.02,20.06,20.02,20.02,6800,19.90
2012-11-09,20.05,20.06,20.03,20.06,1700,19.94
2012-11-08,20.15,20.15,19.67,20.01,4200,19.90
2012-11-07,20.51,20.51,20.27,20.30,9000,20.18
2012-11-06,20.63,20.75,20.55,20.55,16800,20.43
