Date,Open,High,Low,Close,Volume,Adj Close
2013-04-05,7.71,7.74,7.70,7.74,371300,7.74
2013-04-04,7.74,7.74,7.71,7.74,450000,7.74
2013-04-03,7.74,7.74,7.70,7.74,482000,7.74
2013-04-02,7.69,7.73,7.65,7.72,710400,7.72
2013-04-01,7.73,7.73,7.64,7.66,504100,7.66
2013-03-28,7.64,7.78,7.63,7.78,934500,7.78
2013-03-27,7.64,7.68,7.62,7.63,500000,7.63
2013-03-26,7.59,7.64,7.58,7.64,496200,7.64
2013-03-25,7.63,7.65,7.60,7.61,550300,7.58
2013-03-22,7.59,7.65,7.59,7.62,640800,7.58
2013-03-21,7.56,7.60,7.52,7.59,781300,7.56
2013-03-20,7.62,7.65,7.57,7.57,695500,7.54
2013-03-19,7.53,7.64,7.53,7.58,800600,7.55
2013-03-18,7.55,7.64,7.50,7.52,1506500,7.49
2013-03-15,7.71,7.74,7.55,7.55,921100,7.52
2013-03-14,7.73,7.73,7.66,7.73,731000,7.69
2013-03-13,7.70,7.74,7.70,7.74,456500,7.70
2013-03-12,7.75,7.76,7.55,7.71,1445800,7.67
2013-03-11,7.77,7.78,7.75,7.75,649200,7.71
2013-03-08,7.77,7.79,7.76,7.78,880100,7.74
2013-03-07,7.77,7.78,7.74,7.76,507300,7.72
2013-03-06,7.77,7.78,7.73,7.76,458800,7.72
2013-03-05,7.75,7.79,7.74,7.76,701000,7.72
2013-03-04,7.76,7.78,7.72,7.76,689100,7.72
2013-03-01,7.80,7.80,7.76,7.78,471900,7.74
2013-02-28,7.79,7.81,7.78,7.80,422200,7.76
2013-02-27,7.76,7.80,7.75,7.78,699300,7.74
2013-02-26,7.78,7.79,7.71,7.75,679800,7.71
2013-02-25,7.83,7.85,7.79,7.79,558500,7.72
2013-02-22,7.81,7.83,7.79,7.81,467200,7.74
2013-02-21,7.82,7.83,7.78,7.79,427500,7.72
2013-02-20,7.81,7.83,7.79,7.81,451100,7.74
2013-02-19,7.82,7.88,7.79,7.79,973700,7.72
2013-02-15,7.80,7.82,7.79,7.81,499000,7.74
2013-02-14,7.79,7.80,7.77,7.78,515500,7.71
2013-02-13,7.78,7.81,7.77,7.78,761200,7.71
2013-02-12,7.79,7.80,7.75,7.77,644300,7.70
2013-02-11,7.79,7.80,7.75,7.78,527800,7.71
2013-02-08,7.80,7.81,7.75,7.77,724900,7.70
2013-02-07,7.79,7.88,7.78,7.79,844600,7.72
2013-02-06,7.83,7.84,7.76,7.81,1081500,7.74
2013-02-05,7.88,7.88,7.82,7.83,733000,7.76
2013-02-04,7.88,7.89,7.83,7.85,610100,7.78
2013-02-01,7.88,7.91,7.87,7.89,523000,7.82
2013-01-31,7.87,7.90,7.86,7.86,389900,7.79
2013-01-30,7.93,7.93,7.86,7.89,699200,7.82
2013-01-29,7.93,7.93,7.90,7.90,700400,7.83
2013-01-28,7.95,7.97,7.93,7.97,1122900,7.86
2013-01-25,7.96,7.97,7.94,7.95,632300,7.84
2013-01-24,7.96,7.97,7.93,7.94,667100,7.83
2013-01-23,7.95,7.96,7.94,7.95,612500,7.84
2013-01-22,7.93,7.96,7.93,7.95,1095400,7.84
2013-01-18,7.92,7.95,7.92,7.94,580200,7.83
2013-01-17,7.94,7.94,7.92,7.94,711800,7.83
2013-01-16,7.91,7.94,7.91,7.92,491800,7.81
2013-01-15,7.91,7.94,7.90,7.90,504700,7.79
2013-01-14,7.96,7.96,7.92,7.93,552000,7.82
2013-01-11,7.94,7.95,7.90,7.94,510700,7.83
2013-01-10,7.92,7.95,7.92,7.93,673300,7.82
2013-01-09,7.94,7.97,7.92,7.94,519700,7.83
2013-01-08,7.95,7.96,7.92,7.95,1578900,7.84
2013-01-07,7.92,7.94,7.89,7.90,534700,7.79
2013-01-04,7.86,7.90,7.85,7.90,498600,7.79
2013-01-03,7.88,7.90,7.84,7.87,411900,7.76
2013-01-02,7.82,7.88,7.81,7.87,617500,7.76
2012-12-31,7.72,7.85,7.72,7.74,1028500,7.64
2012-12-28,7.72,7.79,7.70,7.74,775100,7.64
2012-12-27,7.79,7.80,7.70,7.77,911000,7.67
2012-12-26,7.86,7.87,7.79,7.80,706300,7.66
2012-12-24,7.86,7.89,7.85,7.85,356800,7.71
2012-12-21,7.80,7.87,7.79,7.87,547100,7.73
2012-12-20,7.89,7.89,7.83,7.84,617300,7.70
2012-12-19,7.85,7.91,7.81,7.87,745500,7.73
2012-12-18,7.82,7.84,7.76,7.83,824400,7.69
2012-12-17,7.91,7.91,7.83,7.84,677500,7.70
2012-12-14,7.91,7.91,7.83,7.88,525800,7.74
2012-12-13,7.88,7.88,7.85,7.88,655300,7.74
2012-12-12,7.89,7.95,7.87,7.88,853700,7.74
2012-12-11,7.92,7.95,7.87,7.89,498200,7.75
2012-12-10,7.88,7.96,7.88,7.90,721500,7.76
2012-12-07,7.90,7.95,7.85,7.91,465000,7.77
2012-12-06,7.89,7.91,7.85,7.90,373600,7.76
2012-12-05,7.80,7.92,7.80,7.92,570500,7.78
2012-12-04,7.86,7.87,7.80,7.80,478500,7.66
2012-12-03,7.90,7.91,7.87,7.87,495600,7.73
2012-11-30,7.87,7.91,7.87,7.90,548400,7.76
2012-11-29,7.94,7.95,7.89,7.89,632800,7.75
2012-11-28,7.92,7.93,7.88,7.92,476900,7.78
2012-11-27,7.92,7.94,7.89,7.92,366400,7.74
2012-11-26,7.87,7.92,7.86,7.90,542300,7.72
2012-11-23,7.89,7.94,7.89,7.93,179400,7.75
2012-11-21,7.85,7.91,7.83,7.89,597200,7.71
2012-11-20,7.80,7.84,7.75,7.83,666100,7.66
2012-11-19,7.78,7.86,7.53,7.80,835800,7.63
2012-11-16,7.34,7.72,7.34,7.66,1136700,7.49
2012-11-15,7.76,7.76,7.25,7.34,3670200,7.18
2012-11-14,7.95,7.96,7.77,7.79,1550700,7.62
2012-11-13,7.97,8.01,7.93,7.95,709000,7.77
2012-11-12,7.98,7.98,7.92,7.94,517700,7.76
2012-11-09,7.90,7.96,7.86,7.94,536000,7.76
2012-11-08,7.86,7.93,7.86,7.90,590300,7.72
2012-11-07,7.87,7.95,7.85,7.87,540300,7.70
2012-11-06,7.89,7.94,7.88,7.89,432800,7.71
2012-11-05,7.90,7.93,7.85,7.87,326300,7.70
2012-11-02,7.92,7.94,7.88,7.88,322600,7.71
2012-11-01,7.90,7.94,7.89,7.93,421900,7.75
2012-10-31,7.92,7.94,7.85,7.90,540400,7.72
2012-10-26,7.94,7.96,7.90,7.92,273600,7.74
2012-10-25,7.94,7.97,7.92,7.93,425800,7.75
2012-10-24,7.93,7.95,7.91,7.91,315200,7.73
2012-10-23,7.88,7.96,7.88,7.92,452300,7.74
2012-10-22,7.92,7.98,7.92,7.92,320000,7.74
2012-10-19,7.94,7.98,7.91,7.96,469800,7.78
2012-10-18,7.95,7.99,7.93,7.97,413100,7.79
2012-10-17,7.94,7.95,7.93,7.95,316900,7.77
2012-10-16,7.94,7.95,7.91,7.93,578800,7.75
2012-10-15,7.95,7.95,7.90,7.93,508300,7.75
2012-10-12,7.91,7.93,7.90,7.92,435800,7.74
2012-10-11,7.90,7.93,7.88,7.92,502500,7.74
2012-10-10,7.86,7.92,7.85,7.88,609100,7.71
2012-10-09,7.83,7.89,7.82,7.86,349500,7.69
2012-10-08,7.82,7.87,7.80,7.84,440700,7.67
2012-10-05,7.88,7.92,7.83,7.85,370200,7.68
2012-10-04,7.84,7.90,7.83,7.90,346300,7.72
2012-10-03,7.87,7.94,7.82,7.83,664200,7.66
2012-10-02,7.82,7.88,7.80,7.87,635800,7.70
2012-10-01,7.81,7.89,7.79,7.84,661400,7.67
2012-09-28,7.81,7.85,7.78,7.78,764000,7.61
2012-09-27,7.83,7.86,7.76,7.81,782700,7.64
2012-09-26,7.86,7.88,7.76,7.79,559500,7.62
2012-09-25,7.89,7.91,7.85,7.86,601900,7.65
2012-09-24,7.89,7.93,7.82,7.87,1098300,7.66
2012-09-21,7.90,7.91,7.86,7.89,491100,7.68
2012-09-20,7.87,7.91,7.86,7.86,453700,7.65
2012-09-19,7.87,7.91,7.85,7.90,485700,7.69
2012-09-18,7.87,7.89,7.83,7.85,484900,7.64
2012-09-17,7.88,7.91,7.83,7.87,549800,7.66
2012-09-14,7.78,7.88,7.76,7.85,698600,7.64
2012-09-13,7.75,7.76,7.73,7.76,1097000,7.55
2012-09-12,7.78,7.80,7.74,7.74,731900,7.53
2012-09-11,7.78,7.80,7.74,7.74,997900,7.53
2012-09-10,7.78,7.84,7.74,7.75,965500,7.54
2012-09-07,7.80,7.86,7.74,7.75,1239900,7.54
2012-09-06,7.83,7.84,7.75,7.77,1214300,7.56
2012-09-05,7.92,7.92,7.80,7.82,892600,7.61
2012-09-04,7.91,7.91,7.83,7.87,606000,7.66
2012-08-31,7.91,7.93,7.89,7.91,358800,7.70
2012-08-30,7.93,7.94,7.89,7.89,431800,7.68
2012-08-29,7.94,7.95,7.91,7.92,469200,7.71
2012-08-28,7.93,7.96,7.92,7.94,472400,7.70
2012-08-27,7.98,7.98,7.92,7.94,718600,7.70
2012-08-24,7.87,7.94,7.85,7.94,613600,7.70
2012-08-23,7.93,7.97,7.86,7.87,590100,7.63
2012-08-22,7.99,8.00,7.87,7.93,451500,7.69
2012-08-21,7.93,7.96,7.93,7.95,637500,7.70
2012-08-20,7.99,7.99,7.93,7.93,673000,7.69
2012-08-17,7.97,7.99,7.93,7.96,733100,7.71
2012-08-16,7.96,7.99,7.95,7.95,549900,7.70
2012-08-15,7.93,7.97,7.92,7.94,514100,7.70
2012-08-14,7.86,7.95,7.85,7.91,544800,7.67
2012-08-13,7.92,7.92,7.84,7.84,641600,7.60
2012-08-10,7.93,7.95,7.87,7.89,719800,7.65
2012-08-09,7.97,7.98,7.91,7.91,552200,7.67
2012-08-08,7.94,7.98,7.92,7.98,385000,7.73
2012-08-07,7.96,7.99,7.88,7.92,542300,7.68
2012-08-06,7.94,7.98,7.90,7.93,735500,7.69
2012-08-03,7.98,7.99,7.92,7.93,453400,7.69
2012-08-02,8.00,8.00,7.91,7.95,417200,7.70
2012-08-01,7.91,7.96,7.91,7.92,538600,7.68
2012-07-31,7.90,7.99,7.85,7.91,529100,7.67
2012-07-30,7.92,7.96,7.83,7.88,631800,7.64
2012-07-27,7.95,7.98,7.90,7.92,693000,7.68
2012-07-26,7.93,7.95,7.88,7.95,533700,7.67
2012-07-25,7.84,7.88,7.78,7.88,612700,7.60
2012-07-24,7.84,7.84,7.78,7.82,391400,7.55
2012-07-23,7.74,7.83,7.65,7.83,693400,7.56
2012-07-20,7.76,7.78,7.74,7.77,396600,7.50
2012-07-19,7.76,7.78,7.75,7.77,647200,7.50
2012-07-18,7.77,7.77,7.72,7.76,442900,7.49
2012-07-17,7.75,7.77,7.70,7.75,545200,7.48
2012-07-16,7.72,7.75,7.69,7.75,590500,7.48
2012-07-13,7.70,7.72,7.68,7.71,565200,7.44
2012-07-12,7.73,7.73,7.63,7.67,534200,7.40
2012-07-11,7.71,7.76,7.70,7.74,354700,7.47
2012-07-10,7.75,7.78,7.67,7.69,551300,7.42
2012-07-09,7.73,7.77,7.71,7.75,570700,7.48
2012-07-06,7.72,7.76,7.70,7.71,480200,7.44
2012-07-05,7.71,7.76,7.67,7.74,426700,7.47
2012-07-03,7.73,7.75,7.71,7.75,245800,7.48
2012-07-02,7.68,7.72,7.65,7.69,625100,7.42
2012-06-29,7.69,7.69,7.62,7.64,567800,7.37
2012-06-28,7.65,7.69,7.58,7.65,318100,7.38
2012-06-27,7.62,7.65,7.61,7.64,501700,7.37
2012-06-26,7.54,7.63,7.54,7.63,369600,7.33
2012-06-25,7.51,7.54,7.50,7.53,462400,7.23
2012-06-22,7.54,7.58,7.51,7.51,493800,7.21
2012-06-21,7.63,7.65,7.51,7.53,508000,7.23
2012-06-20,7.62,7.64,7.58,7.62,507300,7.32
2012-06-19,7.63,7.64,7.57,7.61,533700,7.31
2012-06-18,7.63,7.64,7.53,7.60,511400,7.30
2012-06-15,7.52,7.60,7.51,7.52,549800,7.22
2012-06-14,7.50,7.56,7.44,7.48,388000,7.18
2012-06-13,7.57,7.57,7.44,7.50,368900,7.20
2012-06-12,7.45,7.50,7.44,7.50,390000,7.20
2012-06-11,7.48,7.50,7.42,7.42,417300,7.13
2012-06-08,7.44,7.46,7.40,7.46,386400,7.17
2012-06-07,7.42,7.45,7.40,7.42,391500,7.13
2012-06-06,7.33,7.42,7.32,7.38,542700,7.09
2012-06-05,7.24,7.29,7.24,7.29,385800,7.00
2012-06-04,7.37,7.37,7.16,7.24,1097600,6.95
2012-06-01,7.29,7.36,7.29,7.35,541900,7.06
2012-05-31,7.35,7.37,7.34,7.34,336400,7.05
2012-05-30,7.37,7.38,7.35,7.35,419100,7.06
2012-05-29,7.39,7.39,7.36,7.38,503100,7.09
2012-05-25,7.41,7.45,7.40,7.40,398500,7.07
2012-05-24,7.48,7.48,7.39,7.42,657000,7.09
2012-05-23,7.39,7.45,7.38,7.45,801000,7.12
2012-05-22,7.41,7.44,7.40,7.42,467400,7.09
2012-05-21,7.43,7.45,7.37,7.39,733000,7.06
2012-05-18,7.41,7.43,7.36,7.40,665300,7.07
2012-05-17,7.40,7.44,7.39,7.40,846100,7.07
2012-05-16,7.43,7.50,7.40,7.40,673300,7.07
2012-05-15,7.42,7.45,7.40,7.40,652600,7.07
2012-05-14,7.51,7.51,7.42,7.42,563900,7.09
2012-05-11,7.51,7.57,7.48,7.52,643900,7.19
2012-05-10,7.48,7.53,7.48,7.51,334000,7.18
2012-05-09,7.46,7.49,7.42,7.46,400900,7.13
2012-05-08,7.48,7.50,7.42,7.49,557300,7.16
2012-05-07,7.41,7.51,7.40,7.48,419000,7.15
2012-05-04,7.54,7.58,7.36,7.41,1213000,7.08
2012-05-03,7.62,7.65,7.55,7.55,329800,7.22
2012-05-02,7.56,7.62,7.54,7.62,665400,7.28
2012-05-01,7.58,7.61,7.53,7.57,454900,7.24
2012-04-30,7.60,7.62,7.55,7.56,368100,7.23
2012-04-27,7.53,7.62,7.50,7.62,451700,7.28
2012-04-26,7.60,7.64,7.50,7.50,537000,7.17
2012-04-25,7.56,7.65,7.55,7.64,568300,7.27
2012-04-24,7.54,7.57,7.52,7.55,467300,7.18
2012-04-23,7.46,7.52,7.46,7.52,479300,7.16
2012-04-20,7.53,7.54,7.48,7.52,433900,7.16
2012-04-19,7.47,7.50,7.41,7.49,953600,7.13
2012-04-18,7.39,7.49,7.39,7.48,980700,7.12
2012-04-17,7.36,7.41,7.33,7.39,470200,7.03
2012-04-16,7.37,7.38,7.31,7.35,646900,6.99
2012-04-13,7.32,7.35,7.31,7.32,821100,6.97
2012-04-12,7.26,7.35,7.25,7.30,648100,6.95
2012-04-11,7.24,7.30,7.24,7.26,413400,6.91
2012-04-10,7.27,7.30,7.24,7.24,507000,6.89
2012-04-09,7.22,7.29,7.20,7.28,460200,6.93
2012-04-05,7.29,7.30,7.21,7.25,724300,6.90
2012-04-04,7.25,7.30,7.23,7.25,701200,6.90
2012-04-03,7.38,7.38,7.29,7.29,517900,6.94
2012-04-02,7.28,7.40,7.28,7.40,607200,7.04
2012-03-30,7.36,7.38,7.29,7.29,481800,6.94
2012-03-29,7.27,7.34,7.21,7.32,732900,6.97
2012-03-28,7.33,7.34,7.27,7.31,491800,6.96
2012-03-27,7.33,7.36,7.26,7.36,1338700,6.97
2012-03-26,7.29,7.34,7.25,7.31,1275000,6.92
2012-03-23,7.40,7.44,7.16,7.26,1962000,6.88
2012-03-22,7.51,7.52,7.41,7.42,1237700,7.03
2012-03-21,7.56,7.60,7.53,7.55,414400,7.15
2012-03-20,7.63,7.63,7.55,7.56,449700,7.16
2012-03-19,7.63,7.80,7.60,7.65,671100,7.24
2012-03-16,7.57,7.63,7.57,7.63,635000,7.23
2012-03-15,7.54,7.58,7.50,7.58,695700,7.18
2012-03-14,7.58,7.60,7.50,7.52,558600,7.12
2012-03-13,7.57,7.62,7.55,7.60,441200,7.20
2012-03-12,7.61,7.62,7.55,7.55,450600,7.15
2012-03-09,7.65,7.65,7.58,7.60,420000,7.20
