Date,Open,High,Low,Close,Volume,Adj Close
2013-04-08,1.59,1.70,1.53,1.56,156100,1.56
2013-04-05,1.59,1.65,1.56,1.59,85200,1.59
2013-04-04,1.68,1.89,1.50,1.62,211500,1.62
2013-04-03,1.62,1.70,1.60,1.63,54300,1.63
2013-04-02,1.68,1.68,1.65,1.66,22900,1.66
2013-04-01,1.74,1.74,1.65,1.66,44500,1.66
2013-03-28,1.70,1.75,1.65,1.70,79100,1.70
2013-03-27,1.82,1.82,1.68,1.75,77000,1.75
2013-03-26,1.86,1.86,1.74,1.77,58900,1.77
2013-03-25,1.80,1.95,1.80,1.88,71200,1.88
2013-03-22,1.84,1.84,1.80,1.84,26100,1.84
2013-03-21,1.84,1.84,1.80,1.83,21000,1.83
2013-03-20,1.89,1.89,1.84,1.86,17200,1.86
2013-03-19,1.85,1.89,1.83,1.85,15600,1.85
2013-03-18,1.89,1.91,1.80,1.88,39600,1.88
2013-03-15,1.90,1.93,1.75,1.80,17300,1.80
2013-03-14,1.88,1.91,1.86,1.91,39000,1.91
2013-03-13,1.92,1.94,1.77,1.84,47800,1.84
2013-03-12,1.90,1.94,1.83,1.94,69300,1.94
2013-03-11,1.83,1.90,1.83,1.85,22100,1.85
2013-03-08,1.83,1.87,1.82,1.86,12300,1.86
2013-03-07,1.89,1.89,1.81,1.88,50600,1.88
2013-03-06,1.72,1.82,1.70,1.79,183200,1.79
2013-03-05,1.72,1.76,1.66,1.74,35800,1.74
2013-03-04,1.66,1.79,1.64,1.70,17600,1.70
2013-03-01,1.70,1.71,1.58,1.67,31000,1.67
2013-02-28,1.67,1.73,1.61,1.72,32600,1.72
2013-02-27,1.68,1.70,1.64,1.67,15700,1.67
2013-02-26,1.63,1.71,1.60,1.66,59800,1.66
2013-02-25,1.72,1.78,1.60,1.69,69200,1.69
2013-02-22,1.74,1.74,1.61,1.69,58300,1.69
2013-02-21,1.68,1.76,1.58,1.65,147100,1.65
2013-02-20,1.77,1.77,1.68,1.72,68000,1.72
2013-02-19,1.78,1.80,1.72,1.78,75500,1.78
2013-02-15,1.85,1.86,1.75,1.80,120500,1.80
