Date,AAPL Adj Close,SPY Adj Close
2013-04-05,423.20,155.16
2013-04-04,427.72,155.86
2013-04-03,431.99,155.23
2013-04-02,429.79,156.82
2013-04-01,428.91,156.05
2013-03-28,442.66,156.67
2013-03-27,452.08,156.19
2013-03-26,461.14,156.19
2013-03-25,463.58,154.95
2013-03-22,461.91,155.60
2013-03-21,452.73,154.36
2013-03-20,452.08,155.69
2013-03-19,454.49,154.61
2013-03-18,455.72,154.97
2013-03-15,443.66,155.83
2013-03-14,432.50,156.04
2013-03-13,428.35,155.21
2013-03-12,428.43,154.99
2013-03-11,437.87,155.34
2013-03-08,431.72,154.75
2013-03-07,430.58,154.09
2013-03-06,425.66,153.82
2013-03-05,431.14,153.61
2013-03-04,420.05,152.24
2013-03-01,430.47,151.44
2013-02-28,441.40,150.94
2013-02-27,444.57,151.24
2013-02-26,448.97,149.36
2013-02-25,442.80,148.34
2013-02-22,450.81,151.22
2013-02-21,446.06,149.75
2013-02-20,448.85,150.67
2013-02-19,459.99,152.57
2013-02-15,460.16,151.44
2013-02-14,466.59,151.62
2013-02-13,467.01,151.48
2013-02-12,467.90,151.35
2013-02-11,479.93,151.10
2013-02-08,474.98,151.13
2013-02-07,468.22,150.29
2013-02-06,454.70,150.49
2013-02-05,455.19,150.38
2013-02-04,439.76,148.88
2013-02-01,450.99,150.57
2013-01-31,452.85,149.04
2013-01-30,454.18,149.41
2013-01-29,455.61,149.99
2013-01-28,447.22,149.41
2013-01-25,437.33,149.58
2013-01-24,447.89,148.75
2013-01-23,511.03,148.71
2013-01-22,501.85,148.47
2013-01-18,497.10,147.67
2013-01-17,499.77,147.34
2013-01-16,503.16,146.40
2013-01-15,483.10,146.42
2013-01-14,498.84,146.32
2013-01-11,517.29,146.42
2013-01-10,520.48,146.43
2013-01-09,514.10,145.27
2013-01-08,522.27,144.91
2013-01-07,520.86,145.32
2013-01-04,523.95,145.72
2013-01-03,538.96,145.08
2013-01-02,545.85,145.41
2012-12-31,529.09,141.78
2012-12-28,506.64,139.41
2012-12-27,512.08,140.93
2012-12-26,510.03,141.12
2012-12-24,517.16,141.72
2012-12-21,516.32,142.16
2012-12-20,518.71,143.46
2012-12-19,523.26,142.64
2012-12-18,530.81,143.71
2012-12-17,515.82,142.13
2012-12-14,506.84,140.47
2012-12-13,526.62,141.00
2012-12-12,535.88,141.87
2012-12-11,538.25,141.80
2012-12-10,526.75,140.84
2012-12-07,530.16,140.78
