Date,FAX Adj Close,SYN Adj Close
2013-04-05,7.74,1.59
2013-04-04,7.74,1.62
2013-04-03,7.74,1.63
2013-04-02,7.72,1.66
2013-04-01,7.66,1.66
2013-03-28,7.78,1.70
2013-03-27,7.63,1.75
2013-03-26,7.64,1.77
2013-03-25,7.58,1.88
2013-03-22,7.58,1.84
2013-03-21,7.56,1.83
2013-03-20,7.54,1.86
2013-03-19,7.55,1.85
2013-03-18,7.49,1.88
2013-03-15,7.52,1.80
2013-03-14,7.69,1.91
2013-03-13,7.70,1.84
2013-03-12,7.67,1.94
2013-03-11,7.71,1.85
2013-03-08,7.74,1.86
2013-03-07,7.72,1.88
2013-03-06,7.72,1.79
2013-03-05,7.72,1.74
2013-03-04,7.72,1.70
2013-03-01,7.74,1.67
2013-02-28,7.76,1.72
2013-02-27,7.74,1.67
2013-02-26,7.71,1.66
2013-02-25,7.72,1.69
2013-02-22,7.74,1.69
2013-02-21,7.72,1.65
2013-02-20,7.74,1.72
2013-02-19,7.72,1.78
2013-02-15,7.74,1.80
2013-02-14,7.71,1.80
2013-02-13,7.71,1.84
2013-02-12,7.70,1.91
2013-02-11,7.71,1.93
2013-02-08,7.70,2.00
2013-02-07,7.72,1.95
2013-02-06,7.74,1.86
2013-02-05,7.76,1.77
2013-02-04,7.78,1.82
2013-02-01,7.82,1.88
2013-01-31,7.79,1.78
2013-01-30,7.82,1.85
2013-01-29,7.83,1.90
2013-01-28,7.86,1.90
2013-01-25,7.84,1.84
2013-01-24,7.83,1.97
2013-01-23,7.84,1.73
2013-01-22,7.84,1.77
2013-01-18,7.83,1.82
2013-01-17,7.83,1.85
2013-01-16,7.81,1.85
2013-01-15,7.79,1.88
2013-01-14,7.82,1.87
2013-01-11,7.83,1.91
2013-01-10,7.82,1.90
2013-01-09,7.83,1.97
2013-01-08,7.84,1.84
2013-01-07,7.79,1.74
2013-01-04,7.79,1.70
2013-01-03,7.76,1.71
2013-01-02,7.76,1.78
2012-12-31,7.64,1.76
2012-12-28,7.64,1.63
2012-12-27,7.67,1.68
2012-12-26,7.66,1.69
2012-12-24,7.71,1.84
2012-12-21,7.73,1.85
2012-12-20,7.70,1.60
2012-12-19,7.73,1.70
2012-12-18,7.69,1.75
2012-12-17,7.70,1.67
2012-12-14,7.74,1.80
2012-12-13,7.74,1.73
2012-12-12,7.74,1.63
2012-12-11,7.75,1.60
2012-12-10,7.76,1.67
2012-12-07,7.77,1.71
2012-12-06,7.76,1.79
2012-12-05,7.78,1.86
2012-12-04,7.66,1.88
2012-12-03,7.73,1.94
2012-11-30,7.76,2.00
2012-11-29,7.75,1.86
2012-11-28,7.78,1.87
2012-11-27,7.74,1.92
2012-11-26,7.72,2.00
2012-11-23,7.75,2.05
2012-11-21,7.71,1.94
2012-11-20,7.66,1.92
2012-11-19,7.63,1.97
2012-11-16,7.49,2.00
2012-11-15,7.18,2.12
2012-11-14,7.62,2.09
2012-11-13,7.77,2.20
