Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DDD,3D Systems Corporation,30.75,2848340366,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,105.82,73014768784,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
SVN,7 Days Group Holdings Limited,13.47,673194379.2,n/a,2009,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/svn
AHC,A.H. Belo Corporation,5.89,116033094.2,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
AIR,AAR Corp.,17.47,694142410.7,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",27.51,2084350170,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,22.4,51429263760,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,36.65,57565313113,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,41.6,65852217142,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,47.87,3741853955,n/a,1996,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
ABM,ABM Industries Incorporated,21.52,1176019946,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,27.8,1486418045,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc.,76.61,58703496148,n/a,1986,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACMP,"Access Midstream Partmers, L.P.",38.88,4188283226,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/acmp
